source,score
bbc.com,0.93
bbc.co.uk,0.93
reuters.com,0.95
apnews.com,0.94
aljazeera.com,0.90
nytimes.com,0.94
theguardian.com,0.92
washingtonpost.com,0.93
wsj.com,0.92
thehindu.com,0.90
indiatoday.in,0.82
ndtv.com,0.85
timesofindia.indiatimes.com,0.82
theprint.in,0.78
hindustantimes.com,0.84
economictimes.com,0.86
news18.com,0.75
business-standard.com,0.88
financialexpress.com,0.86
indianexpress.com,0.87
scroll.in,0.79
livemint.com,0.89
moneycontrol.com,0.86
outlookindia.com,0.80
deccanherald.com,0.83
oneindia.com,0.70
telegraphindia.com,0.82
newslaundry.com,0.84
republicworld.com,0.40
timesnownews.com,0.60
wionews.com,0.70
cnn.com,0.94
foxnews.com,0.65
nbcnews.com,0.91
cbsnews.com,0.90
usatoday.com,0.89
npr.org,0.92
latimes.com,0.90
newsweek.com,0.83
time.com,0.88
forbes.com,0.86
bloomberg.com,0.94
politico.com,0.90
vox.com,0.84
huffpost.com,0.78
msnbc.com,0.82
theatlantic.com,0.90
skynews.com,0.88
telegraph.co.uk,0.89
independent.co.uk,0.88
mirror.co.uk,0.70
dailymail.co.uk,0.55
express.co.uk,0.58
news.com.au,0.82
smh.com.au,0.88
abc.net.au,0.92
globalnews.ca,0.88
cbc.ca,0.92
ctvnews.ca,0.87
lemonde.fr,0.92
dw.com,0.90
rt.com,0.25
sputniknews.com,0.20
tass.com,0.35
middleeasteye.net,0.75
jpost.com,0.78
haaretz.com,0.88
chinadaily.com.cn,0.50
cgtn.com,0.45
globaltimes.cn,0.40
afr.com,0.88
straitstimes.com,0.90
channelnewsasia.com,0.88
rte.ie,0.90
irishtimes.com,0.91
eldiario.es,0.88
elpais.com,0.91
ansa.it,0.90
repubblica.it,0.88
faz.net,0.90
spiegel.de,0.92
welt.de,0.89
nzz.ch,0.92
derstandard.at,0.89
orf.at,0.92
kurier.at,0.85
lefigaro.fr,0.88
liberation.fr,0.87
20minutos.es,0.76
abc.es,0.78
voanews.com,0.90
upi.com,0.86
newsmax.com,0.35
breitbart.com,0.20
infowars.com,0.05
thegatewaypundit.com,0.10
naturalnews.com,0.10
zerohedge.com,0.30
dailycaller.com,0.40
theblaze.com,0.42
oann.com,0.28
projectveritas.com,0.20
redstate.com,0.40
pjmedia.com,0.40
truthout.org,0.70
democracynow.org,0.78
jacobin.com,0.72
theintercept.com,0.80
slate.com,0.82
salon.com,0.75
vice.com,0.76
buzzfeednews.com,0.80
futurism.com,0.72
gizmodo.com,0.78
techcrunch.com,0.88
thenextweb.com,0.82
wired.com,0.90
arstechnica.com,0.92
theverge.com,0.85
cnet.com,0.86
tomshardware.com,0.88
androidauthority.com,0.80
gsmarena.com,0.83
macrumors.com,0.82
windowscentral.com,0.80
ign.com,0.75
gamespot.com,0.78
polygon.com,0.76
kotaku.com,0.70
hollywoodreporter.com,0.88
variety.com,0.87
deadline.com,0.86
people.com,0.78
etonline.com,0.75
tmz.com,0.40
dailywire.com,0.45
theepochtimes.com,0.38
blabbermouth.net,0.75
pitchfork.com,0.83
billboard.com,0.88
rollingstone.com,0.87
scientificamerican.com,0.94
nature.com,0.98
science.org,0.97
sciencenews.org,0.92
newscientist.com,0.92
psychologytoday.com,0.70
verywellhealth.com,0.75
webmd.com,0.82
healthline.com,0.86
medicalnewstoday.com,0.88
pharmaintelligence.com,0.85
who.int,0.98
cdc.gov,0.97
nih.gov,0.97
nasa.gov,0.98
noaa.gov,0.97
whitehouse.gov,0.95
gov.uk,0.96
europa.eu,0.95
un.org,0.96
oecd.org,0.94
imf.org,0.94
worldbank.org,0.94
fao.org,0.92
unesco.org,0.92
mha.gov.in,0.96
mea.gov.in,0.95
pmindia.gov.in,0.96
nic.in,0.95
dot.gov.in,0.94
uidai.gov.in,0.95
mohfw.gov.in,0.96
rbi.org.in,0.97
sebi.gov.in,0.97
irctc.co.in,0.90
drdo.gov.in,0.96
isro.gov.in,0.98
iitk.ac.in,0.95
iitm.ac.in,0.95
iitd.ac.in,0.95
iitb.ac.in,0.95
iisc.ac.in,0.97
mit.edu,0.98
harvard.edu,0.98
stanford.edu,0.98
ox.ac.uk,0.98
cam.ac.uk,0.98
berkeley.edu,0.98
princeton.edu,0.98
yale.edu,0.98
columbia.edu,0.97
cornell.edu,0.97
nttimes.com,0.20
altnews.in,0.92
boomlive.in,0.91
factly.in,0.90
newschecker.in,0.88
opindia.com,0.30
dailyo.in,0.45
firstpost.com,0.78
zeenews.india.com,0.55
dnaindia.com,0.58
swarajyamag.com,0.48
thequint.com,0.82
socialtelecast.com,0.35
indiatimes.com,0.82
unginews.com,0.40
indianrailways.gov.in,0.96
bsnleu.in,0.60
businesstoday.in,0.85
thewire.in,0.80
tribuneindia.com,0.84
mintlounge.in,0.82
